category,sku,name,size_general,description,price,style_general,activity_general,material,sleeve,collar,pattern,climate,color,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Men
Tops
Hoodies & Sweatshirts
Collections
Eco Friendly",MH01,"Chaz Kangeroo Hoodie","XS
S
M
L
XL","<p>Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.</p>
<p>&bull; Two-tone gray heather hoodie.<br />&bull; Drawstring-adjustable hood. <br />&bull; Machine wash/dry.</p>",52.00,,"Gym
Outdoor
Running
Warmup
Lounge
",Wool,Long-Sleeve,"&frac14; zip",Color-Blocked,"All-weather
Cool
Indoor
Spring
Windy","Gray
Black
Orange",1,,,,1,45.00,Top
"Men
Tops
Hoodies & Sweatshirts",MH02,"Teton Pullover Hoodie","XS
S
M
L
XL","<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",70,,"Gym
Outdoor
Running
Warmup
Lounge
","Wool
Fleece
Nylon",Long-Sleeve,"&frac14; zip",Solid,"All-weather
Cool
Indoor
Spring
Windy","Black
Purple
Red",,,,1,,,Top
"Men
Tops
Hoodies & Sweatshirts
Collections
Eco Friendly",MH03,"Bruno Compete Hoodie","XS
S
M
L
XL","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",63,,"Warmup
Lounge","Organic Cotton",Long-Sleeve,"&frac14; zip",Solid,"All-weather
Cool
Indoor
Spring
Windy","Black
Blue
Green",1,,1,1,,,Top
"Men
Tops
Hoodies & Sweatshirts
Collections
Eco Friendly",MH04,"Frankie  Sweatshirt","XS
S
M
L
XL","<p>The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.</p>
<p>&bull; Light green crewneck sweatshirt.<br />&bull; Hand pockets.<br />&bull; Relaxed fit.<br />&bull; Machine wash/dry.</p>",60.00,,"Gym
Outdoor
Yoga
Lounge
","Organic Cotton",Long-Sleeve,Crew,Solid,"All-weather
Cool
Indoor
Spring
Windy","Green
Yellow
White",1,1,,,1,50.00,Top
"Men
Tops
Hoodies & Sweatshirts",MH05,"Hollister Backyard Sweatshirt","XS
S
M
L
XL","<p>Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you're raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.</p>
<p>&bull; Cream crewneck sweatshirt with navy sleeves/trim.<br />&bull; Relaxed fit. <br />&bull; Ribbed cuffs and hem. <br />&bull; Machine wash/dry.</p>",52,,"Gym
Outdoor
Running
Warmup
Yoga
Lounge
","Wool
Polyester
Nylon",Long-Sleeve,Crew,Color-Blocked,Cool,"White
Red
Green",,,,,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH06,"Stark Fundamental Hoodie","XS
S
M
L
XL","<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>",42,,"Outdoor
Running
Warmup
Lounge
","Wool
Polyester
Nylon",Long-Sleeve,"Full zip",Solid,"All-weather
Cool
Indoor
Spring","Blue
Black
Purple",,,,,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH07,"Hero Hoodie","XS
S
M
L
XL","<p>Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.</p>
<p>&bull; Full-zip gray and black hoodie.<br />&bull; Ribbed hem.<br />&bull; Standard fit.<br />&bull; Drawcord hood cinch.<br />&bull; Water-resistant coating.</p>",54,,"Outdoor
Warmup
Lounge","Fleece
Hemp
Polyester",Long-Sleeve,"Full zip",Color-Blocked,Spring,"Gray
Green
Black",,,,1,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH08,"Oslo Trek Hoodie","XS
S
M
L
XL","<p>Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It features an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.</p>
<p>&bull; Brown hoodie with black detail.<br />&bull; Pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Machine wash/dry.</p>",42,,"Outdoor
Running","Organic Cotton
Polyester
Nylon",Long-Sleeve,"&frac14; zip",Solid,"Windy
Cool","Brown
Red
Purple",,,,,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH09,"Abominable Hoodie","XS
S
M
L
XL","<p>It took CoolTech&trade; weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It's aggressively warm when it needs to be, while maintaining your comfort in milder climes.</p>
<p>&bull; Blue heather hoodie.<br />&bull; Relaxed fit. <br />&bull; Moisture-wicking. <br />&bull; Machine wash/dry.</p>",69,,"Outdoor
Running
Warmup","CoolTech&trade;
Wool
Nylon",Long-Sleeve,"Boat Neck",Solid,"Spring
Windy","Blue
Red
Green",,,1,,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH10,"Mach Street Sweatshirt ","XS
S
M
L
XL","<p>From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech&trade; fabric, it's bound to become an everyday part of your active lifestyle</p>
<p>&bull; Navy heather crewneck sweatshirt.<br />&bull; LumaTech&trade; moisture-wicking fabric.<br />&bull; Antimicrobial, odor-resistant.<br />&bull; Zip hand pockets.<br />&bull; Chafe-resistant flatlock seams.<br />&bull; Rib-knit cuffs and hem.</p>",62.00,,"Gym
Running
Yoga
Lounge
","Wool
LumaTech&trade;
",Long-Sleeve,Crew,Solid,"All-weather
Cool
Indoor
Spring","Blue
Black
Red",,1,,,1,53.00,Top
