category,name,sku,size,description,price,style_general,activity_general,material,sleeve,collar,pattern,climate,color,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Women
Tops
Hoodies & Sweatshirts
Collections
New Luma Yoga Collection
Collections
Erin Recommends","Mona Pullover Hoodlie",WH01,"XS
S
M
L
XL","Whether you're after energizing activity or eye-catching apparel, the Mona Pullover is what you want. You'll stay warm and look fashionable, wherever you are.<br /> <br /> &bull; Light green heathered hoodie. <br /> &bull; Long-Sleeve, pullover.<br /> &bull; Long elliptical hem for extra coverage.<br /> &bull; Deep button placket for layering.<br /> &bull; Double rib design.<br /> &bull; Mid layer, mid weight.<br /> &bull; 98% Merino Wool / 2% Spandex",57,"Hoodie
Pullover","Gym
Outdoor
Running
Warmup
Yoga
Lounge","Wool
Spandex",Long-Sleeve,"Boat Neck",Solid,"All-weather
Cool
Mild
Spring","Green
Purple
Orange",,,1,1,,,Top
"Women
Tops
Hoodies & Sweatshirts
Promotions
Women Sale","Hera Pullover Hoodie",WH02,"XS
S
M
L
XL","<p>Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.</p>
<p>&bull; Teal with purple stiching.<br />&bull; Hoodie pullover.<br />&bull; Snug fit.</p>",48.00,"Hoodie
Pullover","Gym
Warmup
Post-workout
Yoga
Lounge","Wool
Nylon",Long-Sleeve,Crew,Solid,"All-weather
Cool
Mild
Spring","Blue
Green
Orange",,,,,1,39.00,Top
"Women
Tops
Hoodies & Sweatshirts","Autumn Pullie",WH03,"XS
S
M
L
XL","<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>",57,"Pullover
Sweatshirt","Yoga
Lounge","Fleece
Cotton
Polyester",Short-Sleeve,"Roll Neck",Solid,"Indoor
Mild
Spring","Red
Green
Purple",,,,,,,Top
"Women
Tops
Hoodies & Sweatshirts","Miko Pullover Hoodie",WH04,"XS
S
M
L
XL","<p>After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.</p>
<p>&bull; Teal two-tone hoodie.<br />&bull; Low scoop neckline.<br />&bull; Adjustable hood drawstrings.<br />&bull; Longer rounded hemline for extra back coverage.<br />&bull; Long-Sleeve style.</p>",69,"Pullover
Sweatshirt","Gym
Outdoor
Running
Warmup
Yoga
Lounge","Jersey
Spandex",Long-Sleeve,Scoop,Solid,"All-weather
Cool
Spring","Blue
Purple
Orange",,,,,,,Top
"Women
Tops
Hoodies & Sweatshirts","Selene Yoga Hoodie",WH05,"XS
S
M
L
XL","<p>The Selene Yoga Hoodie gets you to and from the studio in semi form-fitted comfort. Snug, sleek contours add fashion to function in this free-moving yoga warm up sweatshirt.</p>
<p>&bull; Ivory heather full zip 3/4 sleeve hoodie.<br />&bull; Zip pocket at arm for convenient storage.<br />&bull; 24.0"" body length.<br />&bull; 89% Polyester / 11% Spandex.</p>",42,"Hoodie
Full zip","Gym
Post-workout
Warmup
Lounge","Polyester
Spandex",Sleeve,V-neck,Solid,"Indoor
Mild
Spring","White
Purple
Orange",,,,,,,Top
"Women
Tops
Hoodies & Sweatshirts","Daphne Full-Zip Hoodie",WH06,"XS
S
M
L
XL","<p>The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.</p>
<p>&bull; Purple full zip hoodie with pink accents. <br />&bull; Heather texture.<br />&bull; 4-way stretch.<br />&bull; Pre-shrunk.<br />&bull; Hood lined in vegan Sherpa for added warmth.<br />&bull; Ribbed hem on hood and front pouch pocket.<br />&bull; 60% Cotton / 40% Polyester.</p>",59,"Hoodie
Full zip","Outdoor
Post-workout
Running","Cotton
Polyester",Long-Sleeve,V-neck,Solid,"All-weather
Cold
Cool
Spring
Windy
Wintry",Purple,,,,,,,Top
"Women
Tops
Hoodies & Sweatshirts
Collections
New Luma Yoga Collection
Collections
Erin Recommends","Phoebe Zipper Sweatshirt",WH07,"XS
S
M
L
XL","<p>A sophisticated layer of warmth awaits you in our full-zip sweatshirt jacket. You'll reach for this one in any season to enjoy its sturdy exterior and plush interior.</p>
<p>&bull; Gray full zip hoodie with yellow detail.<br />&bull; Hand-warmer pockets. <br />&bull; Zip MP3 pocket with outlet for earphones wire. <br />&bull; Polyester/cotton. <br />&bull; Washable.</p>",59,"Hoodie
Sweatshirt
Full zip","Outdoor
Running
Warmup","Cotton
Polyester",Long-Sleeve,Crew,Solid,"Cool
Indoor
Mild","Gray
Purple
White",,,1,1,,,Top
"Women
Tops
Hoodies & Sweatshirts
Promotions
Women Sale
Collections
Performance Fabrics","Cassia Funnel Sweatshirt",WH08,"XS
S
M
L
XL","<p>The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.</p>
<p>&bull; White full zip hoodie with gray detail.<br />&bull; 65% Cotton/28% Nylon/7% Spandex.<br />&bull; Front slash pockets.<br />&bull; Tagless label at back neck.</p>",48.00,"Hoodie
Full zip","Outdoor
Post-workout
Running
Warmup
Lounge","Nylon
Cotton
Spandex",Long-Sleeve,Scoop,Solid,"All-weather
Cool
Indoor
Mild
Spring","White
Purple
Orange",,1,,,1,39.00,Top
"Women
Tops
Hoodies & Sweatshirts
Collections
Eco Friendly","Ariel Roll Sleeve Sweatshirt",WH09,"XS
S
M
L
XL","<p>Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.</p>
<p>&bull; Purple two-tone lightweight hoodie. <br />&bull; 100% cotton.<br />&bull; Adjustable roll sleeves for Long-Sleeve or 3/4 sleeve.<br />&bull; Casual, comfy piece for running errands or weekend activities.</p>",39,"Hoodie
Pullover","Gym
Outdoor
Post-workout
Running
Warmup
Yoga
Lounge",Cotton,Long-Sleeve,Crew,Color-Blocked,"Indoor
Mild
Spring
Warm","Purple
Red
Green",1,,,,,,Top
"Women
Tops
Hoodies & Sweatshirts
Collections
New Luma Yoga Collection","Helena Hooded Fleece",WH10,"XS
S
M
L
XL","<p>Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.</p>
<p>Full zip. <br />Banded cuffs and waist. <br />Front pockets. <br />Machine wash/dry.</p>",55,"Hoodie
Full zip","Outdoor
Post-workout
Running
Warmup","Cotton
Polyester
Spandex",Long-Sleeve,V-neck,Solid,"Cool
Spring","Gray
Blue
Yellow",,,,1,,,Top
